date,store_id,cat_id,sales,detrended_sales
2011-01-29,TX_1,FOODS,3950.35,299.02204747527503
2011-01-30,TX_1,FOODS,3844.97,193.65445756039526
2011-01-31,TX_1,FOODS,2888.03,-763.2731323544836
2011-02-01,TX_1,FOODS,3631.28,-20.010722269363214
2011-02-02,TX_1,FOODS,3072.18,-579.0983121842428
2011-02-03,TX_1,FOODS,4827.67,1176.4040979008782
2011-02-04,TX_1,FOODS,2865.66,-785.5934920140016
2011-02-05,TX_1,FOODS,4446.09,794.8489180711194
2011-02-06,TX_1,FOODS,4991.76,1340.5313281562403
2011-02-07,TX_1,FOODS,3551.25,-99.96626175863958
2011-02-08,TX_1,FOODS,2690.66,-960.5438516735189
2011-02-09,TX_1,FOODS,3602.84,-48.3514415883983
2011-02-10,TX_1,FOODS,3233.29,-417.8890315032777
2011-02-11,TX_1,FOODS,3696.21,45.04337858184317
2011-02-12,TX_1,FOODS,4803.05,1151.8957886669637
2011-02-13,TX_1,FOODS,5817.36,2166.218198752084
2011-02-14,TX_1,FOODS,3271.07,-380.0593911627948
2011-02-15,TX_1,FOODS,3859.7,208.5830189223252
2011-02-16,TX_1,FOODS,3210.92,-440.18457099255374
2011-02-17,TX_1,FOODS,2965.81,-685.2821609074335
2011-02-18,TX_1,FOODS,3186.52,-464.5597508223127
2011-02-19,TX_1,FOODS,3965.15,314.0826592628082
2011-02-20,TX_1,FOODS,4145.67,494.6150693479285
2011-02-21,TX_1,FOODS,3224.6,-426.44252056695086
2011-02-22,TX_1,FOODS,2893.82,-757.2101104818298
2011-02-23,TX_1,FOODS,2580.78,-1070.2377003967094
2011-02-24,TX_1,FOODS,3083.86,-567.1452903115887
2011-02-25,TX_1,FOODS,3013.17,-637.8228802264684
2011-02-26,TX_1,FOODS,3803.96,152.9795298586523
2011-02-27,TX_1,FOODS,4289.93,638.9619399437734
2011-02-28,TX_1,FOODS,3161.71,-489.24564997110656
2011-03-01,TX_1,FOODS,3199.07,-451.87323988598564
2011-03-02,TX_1,FOODS,3113.6,-537.3308298008651
2011-03-03,TX_1,FOODS,3335.43,-315.48841971574484
2011-03-04,TX_1,FOODS,2973.72,-677.1860096306241
2011-03-05,TX_1,FOODS,4587.39,936.4964004544968
2011-03-06,TX_1,FOODS,5018.7,1367.818810539617
2011-03-07,TX_1,FOODS,4076.49,425.6212206247378
2011-03-08,TX_1,FOODS,3290.18,-360.6763692901418
2011-03-09,TX_1,FOODS,3846.26,195.41604079497938
2011-03-10,TX_1,FOODS,3030.62,-620.2115491199002
2011-03-11,TX_1,FOODS,3307.94,-342.87913903477966
2011-03-12,TX_1,FOODS,4870.73,1219.9232710503406
2011-03-13,TX_1,FOODS,4889.51,1238.7156811354616
2011-03-14,TX_1,FOODS,3892.37,241.5880912205821
2011-03-15,TX_1,FOODS,4377.82,727.0505013057027
2011-03-16,TX_1,FOODS,3225.75,-425.00708860917666
2011-03-17,TX_1,FOODS,3487.95,-162.79467852405605
2011-03-18,TX_1,FOODS,3552.71,-98.02226843893504
2011-03-19,TX_1,FOODS,3926.72,276.00014164618506
2011-03-20,TX_1,FOODS,4366.33,715.622551731306
2011-03-21,TX_1,FOODS,3028.0,-622.6950381835736
